32x_aburner,冲破火网2 (欧洲)
32x_aburnerju,冲破火网2 (美国) ~ After Burner Complete (日本)
32x_bcracers,史前赛车 (美国)
32x_blackthr,黑色荆棘之狠将奇兵 (美国)
32x_brutal,野性释放-极巨之爪 (美国)
32x_cosmicc,赛博争斗-宇宙屠杀 (欧洲)
32x_darxide,黑暗边缘 (欧洲)
32x_doom,DOOM-毁灭战士 (欧洲)
32x_doomju,"DOOM-毁灭战士 (日本, 美国)"
32x_doomp,"DOOM-毁灭战士 (原型版, 19941201)"
32x_doomp1,"DOOM-毁灭战士 (欧洲, 原型版, 19941002)"
32x_doomp2,"DOOM-毁灭战士 (美国, 原型版, 19940928)"
32x_doomp3,"DOOM-毁灭战士 (原型版, 19940925)"
32x_doomp4,"DOOM-毁灭战士 (原型版, 19940923)"
32x_doomp5,"DOOM-毁灭战士 (原型版, 19940921)"
32x_doomp6,"DOOM-毁灭战士 (原型版, 19940916)"
32x_doomp7,"DOOM-毁灭战士 (原型版, 19940914)"
32x_doomp8,"DOOM-毁灭战士 (原型版, 19940909)"
32x_doomp9,"DOOM-毁灭战士 (原型版, 19940906)"
32x_fifa96,FIFA足球96 (欧洲)
32x_kolibri,"蜂鸟 (欧洲, 美国)"
32x_metalhd,金属头 (欧洲)
32x_metalhdju,"金属头 (日本, 美国)"
32x_metalhdp,"金属头 (日本, 美国, 原型版, 19941220)"
32x_metalhdp1,"金属头 (日本, 美国, 原型版, 19941213)"
32x_metalhdp2,"金属头 (日本, 美国, 原型版, 19941209)"
32x_metalhdp3,"金属头 (日本, 美国, 原型版, 19941207-B)"
32x_metalhdp4,"金属头 (日本, 美国, 原型版, 19941207)"
32x_metalhdp5,"金属头 (日本, 美国, 原型版, 19941202)"
32x_metalhdp6,"金属头 (日本, 美国, 原型版, 19941121)"
32x_metalhdp7,"金属头 (日本, 美国, 原型版, 19941118)"
32x_metalhdp8,"金属头 (日本, 美国, 原型版, 19941114)"
32x_mk2,真人快打2 (欧洲)
32x_mk2ju,致命格斗2 (日本) ~ Mortal Kombat II (美国)
32x_motox,越野摩托车锦标赛 (欧洲)
32x_motoxp,"越野摩托车锦标赛 (美国, 原型版, 19941111)"
32x_motoxpa,"越野摩托车锦标赛 (美国, 原型版, 19941108)"
32x_motoxpb,"越野摩托车锦标赛 (美国, 原型版, 19941107)"
32x_motoxpc,"越野摩托车锦标赛 (美国, 原型版, 19941104)"
32x_motoxpd,"越野摩托车锦标赛 (美国, 原型版, 19941103)"
32x_motoxpe,"越野摩托车锦标赛 (美国, 原型版, 19941102-B)"
32x_motoxpf,"越野摩托车锦标赛 (美国, 原型版, 19941102)"
32x_motoxpg,"越野摩托车锦标赛 (美国, 原型版, 19941101)"
32x_motoxph,"越野摩托车锦标赛 (美国, 原型版, 19941028)"
32x_motoxpi,"越野摩托车锦标赛 (美国, 原型版, 19941024)"
32x_motoxpj,"越野摩托车锦标赛 (美国, 原型版, 19941020)"
32x_motoxpk,"越野摩托车锦标赛 (美国, 原型版, 19941019)"
32x_motoxpl,"越野摩托车锦标赛 (美国, 原型版, 19941018)"
32x_motoxpm,"越野摩托车锦标赛 (原型版, 19941017)"
32x_motoxpn,"越野摩托车锦标赛 (原型版, 19941012)"
32x_motoxu,越野摩托车锦标赛 (美国)
32x_pinochio,"匹诺曹 (欧洲, 原型版 19951206)"
32x_pitfall,玛亚历险 (美国)
32x_primal,"原始之怒 (欧洲, 美国)"
32x_sangoku4,三国志 4 (日本)
32x_sharrier,太空哈利 (欧洲)
32x_sharrierju,"太空哈利 (日本, 美国)"
32x_sharrierp,"太空哈利 (原型版, 19940920)"
32x_soulstar,"星魂X (美国, 原型版)"
32x_spidwebf,神奇蜘蛛侠-火网 (美国)
32x_spotgo,七喜酷小子好莱坞之旅 (原型版)
32x_stellar,暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国)
32x_stellarj,暗影中队-恒星突袭 (日本)
32x_stellarp,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950313-B)"
32x_stellarp1,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950313)"
32x_stellarp2,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950306)"
32x_stellarp3,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950302)"
32x_stellarp4,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950222)"
32x_stellarp5,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950213)"
32x_stellarp6,"暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950206)"
32x_stsfleet,星际迷航-星舰学院 (美国)
32x_swa,星球大战-街机版 (欧洲)
32x_swaj,星球大战-街机版 (日本)
32x_swap,"星球大战-街机版 (欧洲, 原型版, 19941007-B)"
32x_swap1,"星球大战-街机版 (欧洲, 原型版, 19941006-P)"
32x_swap10,"星球大战-街机版 (美国, 原型版, 19940914-D)"
32x_swap11,"星球大战-街机版 (美国, 原型版, 19940913-B)"
32x_swap12,"星球大战-街机版 (美国, 原型版, 19940912)"
32x_swap13,"星球大战-街机版 (原型版, 19940909)"
32x_swap14,"星球大战-街机版 (原型版, 19940907)"
32x_swap15,"星球大战-街机版 (原型版, 19940906)"
32x_swap16,"星球大战-街机版 (原型版, 19940901)"
32x_swap17,"星球大战-街机版 (原型版, 19940830)"
32x_swap2,"星球大战-街机版 (日本, 原型版, 19941005)"
32x_swap3,"星球大战-街机版 (日本, 原型版, 19941003)"
32x_swap4,"星球大战-街机版 (日本, 原型版, 19940930-B)"
32x_swap5,"星球大战-街机版 (欧洲, 原型版, 19940929)"
32x_swap6,"星球大战-街机版 (原型版, 19940923)"
32x_swap7,"星球大战-街机版 (美国, 原型版, 19940918)"
32x_swap8,"星球大战-街机版 (美国, 原型版, 19940916)"
32x_swap9,"星球大战-街机版 (原型版, 19940915)"
32x_swau,星球大战-街机版 (美国)
32x_tempo,"节奏 (日本, 美国)"
32x_tempop,"节奏 (美国, 原型版, 19950207)"
32x_tempop1,"节奏 (美国, 原型版, 19950206)"
32x_tempop2,"节奏 (美国, 原型版, 19950206-B)"
32x_tempop3,"节奏 (美国, 原型版, 19950204)"
32x_tempop4,"节奏 (美国, 原型版, 19950126)"
32x_tempop5,"节奏 (美国, 原型版, 19950124)"
32x_tempop6,"节奏 (原型版, 19950121)"
32x_tempop7,"节奏 (原型版, 19941229)"
32x_tmek,"军阀 (欧洲, 美国)"
32x_toughman,"硬汉争霸 (欧洲, 美国)"
32x_vf,VR战士 (欧洲)
32x_vfju,"VR战士 (日本, 美国)"
32x_vfp,"VR战士 (美国, 原型版, 19950725)"
32x_vfp1,"VR战士 (美国, 原型版, 19950724)"
32x_vfp2,"VR战士 (美国, 原型版, 19950721)"
32x_vfp3,"VR战士 (美国, 原型版, 19950717)"
32x_vfp4,"VR战士 (原型版, 19950630)"
32x_vfp5,"VR战士 (原型版, 19950615)"
32x_vfp6,"VR战士 (原型版, 19950530)"
32x_vham,"虚拟仓鼠 (美国, 原型版)"
32x_vrdx,虚拟赛车-豪华版 (欧洲)
32x_vrdxj,虚拟赛车-豪华版 (日本)
32x_vrdxp,"虚拟赛车-豪华版 (美国, 原型版, 19940905)"
32x_vrdxp1,"虚拟赛车-豪华版 (美国, 原型版, 19940829)"
32x_vrdxp2,"虚拟赛车-豪华版 (原型版, 19940822)"
32x_vrdxu,虚拟赛车-豪华版 (美国)
32x_wsb,迪昂桑德斯-世界系列棒球 (美国)
32x_wwfag,WWF狂热职业摔跤-街机游戏 (美国)
32x_wwfraw,WWF世界摔角联盟 (世界)
32x_xmen,"X战警 (美国, 原型版)"
